LR table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,
,BEGIN,END,{,},id,=,;,sint,mint,lint,xlint,choos,loop,(,),>,<,==,!=,>=,<=,+,-,*,/,%,literal,$,S',PROG,STMTLIST,STMT,ASSIGN,type,value,IF,LOOP,body,bool,boolop,expr,term,factor
0,s2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,
2,,,s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
3,,s5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,r6,,,,s13,s14,s15,s16,s12,s11,,,,,,,,,,,,,,,,,,,6,7,10,,9,8,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,
6,,,,s17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,r6,,,,s13,s14,s15,s16,s12,s11,,,,,,,,,,,,,,,,,,,18,7,10,,9,8,,,,,,
8,,,,r6,,,,s13,s14,s15,s16,s12,s11,,,,,,,,,,,,,,,,,,,19,7,10,,9,8,,,,,,
9,,,,r6,,,,s13,s14,s15,s16,s12,s11,,,,,,,,,,,,,,,,,,,20,7,10,,9,8,,,,,,
10,,,,,s21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,
12,,,,,,,,,,,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,
13,,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,s25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,r14,,,,r14,r14,r14,r14,r14,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,s30,,,,,,,,,s32,,,,,,,,,,,,,s31,,,,,,,,26,,,,,,27,28,29
24,,,,r13,,,,r13,r13,r13,r13,r13,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,s37,,,,,,,,,s39,,,,,,,,,,,,,s38,,,,,,,,33,,,,,,34,35,36
26,,,,,,,,,,,,,,,s40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,r16,s43,s44,s45,s46,s47,s48,,,,,,,,,,,,,,,,,,41,42,,,
28,,,,,,,,,,,,,,,r24,r24,r24,r24,r24,r24,r24,s49,s50,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,r27,r27,r27,r27,r27,r27,r27,r27,r27,s51,s52,s53,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,
32,,,,,s57,,,,,,,,,s59,,,,,,,,,,,,,s58,,,,,,,,,,,,,,54,55,56
33,,,,,,,s60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,r16,,,,,,,,,s43,s44,s45,s46,s47,s48,,,,,,,,,,,,,,,,,,61,62,,,
35,,,,,,,r24,,,,,,,,,r24,r24,r24,r24,r24,r24,s63,s64,,,,,,,,,,,,,,,,,,,,
36,,,,,,,r27,,,,,,,,,r27,r27,r27,r27,r27,r27,r27,r27,s65,s66,s67,,,,,,,,,,,,,,,,,
37,,,,,,,r31,,,,,,,,,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,,,,,,,,,,,,,,,,,
38,,,,,,,r32,,,,,,,,,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,
39,,,,,s57,,,,,,,,,s59,,,,,,,,,,,,,s58,,,,,,,,,,,,,,68,55,56
40,,,s70,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,
41,,,,,,,,,,,,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,s57,,,,,,,,,s59,,,,,,,,,,,,,s58,,,,,,,,,,,,,,71,55,56
43,,,,,r18,,,,,,,,,r18,,,,,,,,,,,,,r18,,,,,,,,,,,,,,,,
44,,,,,r19,,,,,,,,,r19,,,,,,,,,,,,,r19,,,,,,,,,,,,,,,,
45,,,,,r20,,,,,,,,,r20,,,,,,,,,,,,,r20,,,,,,,,,,,,,,,,
46,,,,,r21,,,,,,,,,r21,,,,,,,,,,,,,r21,,,,,,,,,,,,,,,,
47,,,,,r22,,,,,,,,,r22,,,,,,,,,,,,,r22,,,,,,,,,,,,,,,,
48,,,,,r23,,,,,,,,,r23,,,,,,,,,,,,,r23,,,,,,,,,,,,,,,,
49,,,,,s74,,,,,,,,,s76,,,,,,,,,,,,,s75,,,,,,,,,,,,,,,72,73
50,,,,,s74,,,,,,,,,s76,,,,,,,,,,,,,s75,,,,,,,,,,,,,,,77,73
51,,,,,s79,,,,,,,,,s81,,,,,,,,,,,,,s80,,,,,,,,,,,,,,,,78
52,,,,,s79,,,,,,,,,s81,,,,,,,,,,,,,s80,,,,,,,,,,,,,,,,82
53,,,,,s79,,,,,,,,,s81,,,,,,,,,,,,,s80,,,,,,,,,,,,,,,,83
54,,,,,,,,,,,,,,,s84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,r24,,,,,,,s85,s86,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,r27,,,,,,,r27,r27,s87,s88,s89,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,r31,,,,,,,r31,r31,r31,r31,r31,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,r32,,,,,,,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,
59,,,,,s57,,,,,,,,,s59,,,,,,,,,,,,,s58,,,,,,,,,,,,,,90,55,56
60,,,,r7,,,,r7,r7,r7,r7,r7,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,s94,,,,,,,,,s96,,,,,,,,,,,,,s95,,,,,,,,,,,,,,91,92,93
63,,,,,s99,,,,,,,,,s101,,,,,,,,,,,,,s100,,,,,,,,,,,,,,,97,98
64,,,,,s99,,,,,,,,,s101,,,,,,,,,,,,,s100,,,,,,,,,,,,,,,102,98
65,,,,,s104,,,,,,,,,s106,,,,,,,,,,,,,s105,,,,,,,,,,,,,,,,103
66,,,,,s104,,,,,,,,,s106,,,,,,,,,,,,,s105,,,,,,,,,,,,,,,,107
67,,,,,s104,,,,,,,,,s106,,,,,,,,,,,,,s105,,,,,,,,,,,,,,,,108
68,,,,,,,,,,,,,,,s109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,r15,,,,r15,r15,r15,r15,r15,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,r6,,,,s13,s14,s15,s16,s12,s11,,,,,,,,,,,,,,,,,,,110,7,10,,9,8,,,,,,
71,,,,,,,,,,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,r25,r25,r25,r25,r25,r25,r25,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,r27,r27,r27,r27,r27,r27,r27,,,s111,s112,s113,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,r31,r31,r31,r31,r31,r31,r31,,,r31,r31,r31,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,r32,r32,r32,r32,r32,r32,r32,,,r32,r32,r32,,,,,,,,,,,,,,,,,
76,,,,,s57,,,,,,,,,s59,,,,,,,,,,,,,s58,,,,,,,,,,,,,,114,55,56
77,,,,,,,,,,,,,,,r26,r26,r26,r26,r26,r26,r26,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,r28,r28,r28,r28,r28,r28,r28,r28,r28,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,r31,r31,r31,r31,r31,r31,r31,r31,r31,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,r32,r32,r32,r32,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,,,,
81,,,,,s57,,,,,,,,,s59,,,,,,,,,,,,,s58,,,,,,,,,,,,,,115,55,56
82,,,,,,,,,,,,,,,r29,r29,r29,r29,r29,r29,r29,r29,r29,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,r30,r30,r30,r30,r30,r30,r30,r30,r30,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,,,,,,,,,,,,,,,,,
85,,,,,s118,,,,,,,,,s120,,,,,,,,,,,,,s119,,,,,,,,,,,,,,,116,117
86,,,,,s118,,,,,,,,,s120,,,,,,,,,,,,,s119,,,,,,,,,,,,,,,121,117
87,,,,,s123,,,,,,,,,s125,,,,,,,,,,,,,s124,,,,,,,,,,,,,,,,122
88,,,,,s123,,,,,,,,,s125,,,,,,,,,,,,,s124,,,,,,,,,,,,,,,,126
89,,,,,s123,,,,,,,,,s125,,,,,,,,,,,,,s124,,,,,,,,,,,,,,,,127
90,,,,,,,,,,,,,,,s128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,r24,,,,,,,,,,,,,,,s129,s130,,,,,,,,,,,,,,,,,,,,
93,,,,,,,r27,,,,,,,,,,,,,,,r27,r27,s131,s132,s133,,,,,,,,,,,,,,,,,
94,,,,,,,r31,,,,,,,,,,,,,,,r31,r31,r31,r31,r31,,,,,,,,,,,,,,,,,
95,,,,,,,r32,,,,,,,,,,,,,,,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,
96,,,,,s57,,,,,,,,,s59,,,,,,,,,,,,,s58,,,,,,,,,,,,,,134,55,56
97,,,,,,,r25,,,,,,,,,r25,r25,r25,r25,r25,r25,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,r27,,,,,,,,,r27,r27,r27,r27,r27,r27,,,s135,s136,s137,,,,,,,,,,,,,,,,,
99,,,,,,,r31,,,,,,,,,r31,r31,r31,r31,r31,r31,,,r31,r31,r31,,,,,,,,,,,,,,,,,
100,,,,,,,r32,,,,,,,,,r32,r32,r32,r32,r32,r32,,,r32,r32,r32,,,,,,,,,,,,,,,,,
101,,,,,s57,,,,,,,,,s59,,,,,,,,,,,,,s58,,,,,,,,,,,,,,138,55,56
102,,,,,,,r26,,,,,,,,,r26,r26,r26,r26,r26,r26,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,r28,,,,,,,,,r28,r28,r28,r28,r28,r28,r28,r28,,,,,,,,,,,,,,,,,,,,
104,,,,,,,r31,,,,,,,,,r31,r31,r31,r31,r31,r31,r31,r31,,,,,,,,,,,,,,,,,,,,
105,,,,,,,r32,,,,,,,,,r32,r32,r32,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,,,,
106,,,,,s57,,,,,,,,,s59,,,,,,,,,,,,,s58,,,,,,,,,,,,,,139,55,56
107,,,,,,,r29,,,,,,,,,r29,r29,r29,r29,r29,r29,r29,r29,,,,,,,,,,,,,,,,,,,,
108,,,,,,,r30,,,,,,,,,r30,r30,r30,r30,r30,r30,r30,r30,,,,,,,,,,,,,,,,,,,,
109,,,,,,,r33,,,,,,,,,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,,,,,,,,,,,,,,,,,
110,,,,s140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,s142,,,,,,,,,s144,,,,,,,,,,,,,s143,,,,,,,,,,,,,,,,141
112,,,,,s142,,,,,,,,,s144,,,,,,,,,,,,,s143,,,,,,,,,,,,,,,,145
113,,,,,s142,,,,,,,,,s144,,,,,,,,,,,,,s143,,,,,,,,,,,,,,,,146
114,,,,,,,,,,,,,,,s147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,s148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,r27,,,,,,,,,s149,s150,s151,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,r31,,,,,,,,,r31,r31,r31,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,r32,,,,,,,,,r32,r32,r32,,,,,,,,,,,,,,,,,
120,,,,,s57,,,,,,,,,s59,,,,,,,,,,,,,s58,,,,,,,,,,,,,,152,55,56
121,,,,,,,,,,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,r28,,,,,,,r28,r28,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,r31,,,,,,,r31,r31,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,r32,,,,,,,r32,r32,,,,,,,,,,,,,,,,,,,,
125,,,,,s57,,,,,,,,,s59,,,,,,,,,,,,,s58,,,,,,,,,,,,,,153,55,56
126,,,,,,,,,,,,,,,r29,,,,,,,r29,r29,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,r30,,,,,,,r30,r30,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,r33,,,,,,,r33,r33,r33,r33,r33,,,,,,,,,,,,,,,,,
129,,,,,s156,,,,,,,,,s158,,,,,,,,,,,,,s157,,,,,,,,,,,,,,,154,155
130,,,,,s156,,,,,,,,,s158,,,,,,,,,,,,,s157,,,,,,,,,,,,,,,159,155
131,,,,,s161,,,,,,,,,s163,,,,,,,,,,,,,s162,,,,,,,,,,,,,,,,160
132,,,,,s161,,,,,,,,,s163,,,,,,,,,,,,,s162,,,,,,,,,,,,,,,,164
133,,,,,s161,,,,,,,,,s163,,,,,,,,,,,,,s162,,,,,,,,,,,,,,,,165
134,,,,,,,,,,,,,,,s166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,s168,,,,,,,,,s170,,,,,,,,,,,,,s169,,,,,,,,,,,,,,,,167
136,,,,,s168,,,,,,,,,s170,,,,,,,,,,,,,s169,,,,,,,,,,,,,,,,171
137,,,,,s168,,,,,,,,,s170,,,,,,,,,,,,,s169,,,,,,,,,,,,,,,,172
138,,,,,,,,,,,,,,,s173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,s174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,r2,,,,r2,r2,r2,r2,r2,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,r28,r28,r28,r28,r28,r28,r28,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,r31,r31,r31,r31,r31,r31,r31,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,r32,r32,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,,,,,,
144,,,,,s57,,,,,,,,,s59,,,,,,,,,,,,,s58,,,,,,,,,,,,,,175,55,56
145,,,,,,,,,,,,,,,r29,r29,r29,r29,r29,r29,r29,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,r30,r30,r30,r30,r30,r30,r30,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,r33,r33,r33,r33,r33,r33,r33,,,r33,r33,r33,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,r33,r33,r33,r33,r33,r33,r33,r33,r33,,,,,,,,,,,,,,,,,,,,
149,,,,,s177,,,,,,,,,s179,,,,,,,,,,,,,s178,,,,,,,,,,,,,,,,176
